MATNR,MAKTX,MATKL,WERKS,BUDAT,MENGE,MEINS,BWART,LIFNR,EBELN
200002,Petrol - Premium,PETROL,BLR-001,2024-01-01,241.08,L,101,VEN2321,PO-TECH-83117
200002,Petrol - Premium,PETROL,BLR-001,2024-01-02,719.9,L,101,VEN7553,PO-TECH-88667
200001,Diesel - Industrial Grade,DIESEL,BLR-001,2024-01-03,173.98,L,101,VEN3433,PO-TECH-66901
200002,Petrol - Premium,PETROL,BLR-001,2024-01-04,777.89,L,101,VEN9965,PO-TECH-80415
200002,Petrol - Premium,PETROL,BLR-001,2024-01-05,218.11,L,101,VEN2072,PO-TECH-39816
200002,Petrol - Premium,PETROL,BLR-001,2024-01-06,216.84,L,101,VEN2572,PO-TECH-81992
200002,Petrol - Premium,PETROL,BLR-001,2024-01-07,492.22,L,101,VEN9003,PO-TECH-37256
200001,Diesel - Industrial Grade,DIESEL,BLR-001,2024-01-08,210.7,L,101,VEN4453,PO-TECH-16347
200001,Diesel - Industrial Grade,DIESEL,BLR-001,2024-01-09,434.15,L,101,VEN8996,PO-TECH-13678
200001,Diesel - Industrial Grade,DIESEL,BLR-001,2024-01-10,504.88,L,101,VEN4959,PO-TECH-13968
200001,Diesel - Industrial Grade,DIESEL,BLR-001,2024-01-11,411.81,L,101,VEN9664,PO-TECH-21643
200001,Diesel - Industrial Grade,DIESEL,BLR-001,2024-01-12,667.56,L,101,VEN3176,PO-TECH-81667
200001,Diesel - Industrial Grade,DIESEL,UNKNOWN-PLANT,2024-01-13,539.05,L,101,VEN6335,PO-TECH-72348
200001,Diesel - Industrial Grade,DIESEL,UNKNOWN-PLANT,2024-01-14,771.53,L,101,VEN2377,PO-TECH-85823
200001,Diesel - Industrial Grade,DIESEL,UNKNOWN-PLANT,2024-01-15,378.61,L,101,VEN3978,PO-TECH-17218
200001,Diesel - Industrial Grade,DIESEL,BLR-001,2024-01-16,-135.68,L,101,VEN4587,PO-TECH-69861
200001,Diesel - Industrial Grade,DIESEL,BLR-001,2024-01-17,-125.15,L,101,VEN6884,PO-TECH-24670
299999,Unknown Chemical,UNKNOWN,BLR-001,2024-01-20,100.0,L,101,VEN5555,PO-TECH-99999
